Page,Source,Comment,Sentiment 
1,Glassdoor,Amazing airline in the world and helping passenger,1
1,Glassdoor,Flights Accommodation Allowance + Transport Allowance,1
1,Glassdoor,Salary Accomodation travel cheap ticekts,1
1,Glassdoor,Benefits / view other countries,1
1,Glassdoor,"travelling, discounts, meeting interesting people",1
2,Glassdoor,Accommodation and transport provided - beneficial for saving.,1
2,Glassdoor,#NAME?,1
2,Glassdoor,"Travel the world, great pay, living and travel to work, laundry.",1
2,Glassdoor,"Travel the world, good salary",1
2,Glassdoor,"Great place to work, supportive managers",1
3,Glassdoor,Perks Cosmopolitan Environment Training Infrastructure,1
3,Glassdoor,"Lovely team fun environment, clear targets",1
3,Glassdoor,"- Package is very nice, you get a lot of benefits including staff travel discount (even though it's restricted by loads in an airline that's often too busy), which includes other airlines. - Lots of layovers give the chance to buy things abroad and enjoy a taste of other parts of the world. - Pro and con: Flexible working hours, the idea of being off during weekdays lets you enjoy spending your time off away from crowds. - The discount scheme across UAE is very useful. - A lot of government services are fast-tracked or done by the company. - Salary is always on time, HR portal is solid and a lot gets done very efficiently.",1
3,Glassdoor,Travel benefits with a yearly bonus and good chances of growth,1
3,Glassdoor,Good experience I will be working for ever with Emirates,1
4,Glassdoor,Great opportunity to travel the world,1
4,Glassdoor,Mostly good people to work with,1
4,Glassdoor,"best lifestyle, brand name, best facilities",1
4,Glassdoor,"Lifestyle benefits,
Job security
Reputation",1
4,Glassdoor,#NAME?,1
5,Glassdoor,"You see the whole world, stay in 5 star hotels, free accomodation, have lots of discounts",1
5,Glassdoor,Emirates groups offers lots of great opportunity,1
5,Glassdoor,flight perks and benefits worldwide,1
5,Glassdoor,#NAME?,1
5,Glassdoor,"Yearly Bonus
Flight tickets
insurance",1
6,Glassdoor,Traveling around the world Company-provided accommodation Meals at work,1
6,Glassdoor,"Work life balance.
Latest technology stack",1
6,Glassdoor,"Job Security
Bonus
Airline Benefits",1
6,Glassdoor,I loved the great layovers and allowance,1
6,Glassdoor,salary travel accomodation all top notch fun crew,1
7,Glassdoor,Huge benefit for travel for family,1
7,Glassdoor,"High salary, discounts, payed accommodation, fly around the world",1
7,Glassdoor,Airline perks for travel either yorself of family friends,1
7,Glassdoor,"Fabulous training, excellent company accomodation, health insurance, highly organised and superb travel benefits.",1
7,Glassdoor,"pay, costs covered and travel",1
8,Glassdoor,"Staff travel, get to travel, free accommodation, money is good after bonus & flight pay.",1
8,Glassdoor,"great lifestyle
great pay
discounted tickets",1
8,Glassdoor,You’ve got the chance to fly around and a lot of benefits,1
8,Glassdoor,"Reputation, Travel Benefits, Yearly Bonus",1
8,Glassdoor,Very professional company- great to start your flying career,1
9,Glassdoor,Good Salary Packages and Work Culture,1
9,Glassdoor,Good work life balance before Covid,1
9,Glassdoor,"Salary, travel benefits, networking, highly dynamic environment, you meet a lot of interesting people & unique talents.",1
9,Glassdoor,Benefits of staff travel for family and friends,1
9,Glassdoor,Package Growth and professional development opportunities Travel Benefits,1
10,Glassdoor,"Travel the world, medical insurance",1
10,Glassdoor,Salary and Dubai life with discount,1
10,Glassdoor,#NAME?,1
10,Glassdoor,The company provides you with everything you may need to success in your role.,1
10,Glassdoor,"Easy onboarding, fair payment, multicultural environment",1
11,Glassdoor,Nice job Nice people Nice place,1
11,Glassdoor,Good starting job in UAE,1
11,Glassdoor,Good travel and benefits and free accommodation,1
11,Glassdoor,"Good salary, paid accommodation, discounts, travelling",1
11,Glassdoor,“Good work environment” “Opportunities to learn and grow”,1
12,Glassdoor,The best airline to work for. It's a brand and knows very well how to meet customer's expectations add value to their investment. Genuinley takes care it's employees too.,1
12,Glassdoor,Training Exposure to international market Travel perks,1
12,Glassdoor,Good company to work for,1
12,Glassdoor,Good place to work at,1
12,Glassdoor,Good company to work with.,1
13,Glassdoor,"travel, free time, free accommodation",1
13,Glassdoor,"Everyday is different, never gets boring. Free food. A lot of other benefits with the airport.",1
13,Glassdoor,the best part about my job was being able to travel,1
13,Glassdoor,"Travel Benefits
Medical Insurance
Yearly Bonuses",1
13,Glassdoor,travel the word - money,1
14,Glassdoor,Travel Free accommodation No bills except for WiFi They set you up for success,1
14,Glassdoor,There are a lot of great benefits associated with working for the company.,1
14,Glassdoor,You get discounts on travel.,1
14,Glassdoor,Great benefits and the opportunity to travel the world.,1
14,Glassdoor,Brand Name Perks Location New Locations Memories for life,1
15,Glassdoor,Travel and a lot of benefits,1
15,Glassdoor,"Love it, good salary, bonus",1
15,Glassdoor,"Great benefits. Accommodation, discounted tickets and good salary.",1
15,Glassdoor,Workplace politics Long working hours,1
15,Glassdoor,Dubai is a good place to start and have fun,1
16,Glassdoor,International team and cultural exchange,1
16,Glassdoor,Travel the world and get paid to do it,1
16,Glassdoor,"Good working environment, and good leadership team",1
16,Glassdoor,Perks. Holidays carried over if they fall on a weekend and business class tickets anywhere Emirates and it’s partners fly.,1
16,Glassdoor,#NAME?,1
17,Glassdoor,good pay good benefits good travel perks,1
17,Glassdoor,Lot to Learn Perks Supportive Team,1
17,Glassdoor,Only pro is travel benefit,1
17,Glassdoor,"Amazing training programs , great leadership , employee benefits",1
17,Glassdoor,good slaary and good perks,1
18,Glassdoor,Tax free Salary & other perks & benefits.,1
18,Glassdoor,"Tax free, good travel benefits, good family benefits",1
18,Glassdoor,Good pay and incentives every year,1
18,Glassdoor,Travel the word for free,1
18,Glassdoor,"Benefits
Flexible working hours
Flights advantages",1
19,Glassdoor,Great people. Fast paced. Opportunity to grow in the industry. Ability to connect and network.,1
19,Glassdoor,Stability and good perks for employees,1
19,Glassdoor,"Competitive salary, amazing benefits, great.",1
19,Glassdoor,good to work nice environment,1
19,Glassdoor,Good environment to work in,1
20,Glassdoor,salary benefits network living in dubai,1
20,Glassdoor,"Easy job , get to meet lot of people",1
20,Glassdoor,Good salary Accomdation Allowance on layovers Travel the world,1
20,Glassdoor,"Staff discounts for tickets, good salary",1
20,Glassdoor,Good salary compared to other airlines Wide network for travel,1
21,Glassdoor,Meaningful work and exposure to a multi-cultural environment.,1
21,Glassdoor,Housing allowance and transportation are provided,1
21,Glassdoor,"Full package, salary, discounts, travel opportunity",1
21,Glassdoor,"Get to travel, get to save a lot of money since accomodation and transport is take cared of.",1
21,Glassdoor,Great place to work as professionals,1
22,Glassdoor,Excellent flight benefits. Competitive salary.,1
22,Glassdoor,great travel benfits all the time,1
22,Glassdoor,Paid accommodation Tax free salary Staff travel,1
22,Glassdoor,"Salary on time, bonuses, and great benefits",1
22,Glassdoor,Good salary Nice benefits Nice layovers,1
23,Glassdoor,"Free travel and expenses, medical insurance",1
23,Glassdoor,"Hardly any. May the that ""free accommodation"", but with 2 random roommates, mold, somewhere far away.",1
23,Glassdoor,"They pay for your house and bills, good discounts on tickets for you your family and your friends",1
23,Glassdoor,Almost free tickets if you can get a seat/ young & energetic co workers/ get to travel all over the world,1
23,Glassdoor,multiculture company where you meet people from all backgrounds,1
24,Glassdoor,"Travel the world, 24+ hour layovers, living accommodations, No income tax, 30 days vacation",1
24,Glassdoor,"accommodation, transportation and uniform laundry.",1
24,Glassdoor,"Travelling, free accommodation, days off",1
24,Glassdoor,Lots of benefit at work,1
24,Glassdoor,"Great people, great company, great office views",1
25,Glassdoor,Pays on time. Good pay Hard Career progress,1
25,Glassdoor,Good.employer and can work in latest tech,1
25,Glassdoor,"Fly benefits, Salary always on time, Smooth on-boarding and Training experience",1
25,Glassdoor,Travel Salary Company housing Fun!,1
25,Glassdoor,"Good work life balance
Good salary",1
26,Glassdoor,They handel Excellent customer relation,1
26,Glassdoor,They are the Biggest airlines in UAE.,1
26,Glassdoor,"This company to good,the management is to good",1
26,Glassdoor,Travelling the world and living in Dubai,1
26,Glassdoor,The company is stable financially with support from the government.,1
27,Glassdoor,Great benefits and good salary.,1
27,Glassdoor,You enjoy traveling that’s it,1
27,Glassdoor,Travel the world with good compensation package,1
27,Glassdoor,"Emirates environment is so cool, people are nice and friendly and they are very professional. As a permanent employee you have so many range of benefeits, you get to fly world wide for 90% in all Emirates and Emirates's partner flights You can get lot of discount cards. Their offices are completely perfect specially if you get a chance to work in the Headquarter",1
27,Glassdoor,"great experience, travelling the world",1
28,Glassdoor,Good work life balance in rosters,1
28,Glassdoor,Bsbsbsbsb hsbsbs dhdjdb jsjsbs jsjsjsh,1
28,Glassdoor,Great company to gain experience at if you’re just starting your cabin crew or flight attendant career,1
28,Glassdoor,"Good salary
Good benefits
Good overall",1
28,Glassdoor,Very solid benefits for employees,1
29,Glassdoor,Travel worldwide and profit sharing,1
29,Glassdoor,Most of people are friendly,1
29,Glassdoor,Competitive salary. Travel benefit. Accommodation and transportation allowance.,1
29,Glassdoor,"People, work flow is good & Emirates benefits",1
29,Glassdoor,"Travel, accomadation, benefits are good",1
30,Glassdoor,Great salary and modern equipment. Many opportunities for progression.,1
30,Glassdoor,"Fun
Travel
Team
Dubai
People",1
30,Glassdoor,"Emirates offers excellent benefits: company-provided accommodation, transportation, a competitive tax-free salary, and generous travel perks for both employees and their families. It’s a unique opportunity to see the world and work with a diverse and multicultural team. The training is world-class and the exposure to different cultures is enriching.",1
30,Glassdoor,"Flights discounts, bonuses, nice colleagues",1
30,Glassdoor,Easy job Flying for free Staying in 5 star hotels Discounted flights for friends and family Free accomodation,1
31,Glassdoor,Travelling and seeing different cultures around the world,1
31,Glassdoor,"You get a strong employer that provides accommodation, insurance, transport, etc. in Dubai, as you will live there as cabin crew for emirates. This makes it easier to move abroad as they will guide you through the whole process. After the 8 weeks training and passing all exams you start flying and see amazing destinations in your layovers.",1
31,Glassdoor,Good travel Benefit For Staff and Family,1
31,Glassdoor,Free accommodation Free transportation to work Meal allowances on layovers,1
31,Glassdoor,"Accommodation and utilities paid for, helpful setup procedures upon arrival in Dubai, training was meticulous, schedule is a lot, but you can get into a routine and get in the swing of it. It's an important job but remember to live you life.",1
32,Glassdoor,"Insurance, benefits, restaurant, good team.",1
32,Glassdoor,Stability Accommodation Benefits Multicultural Travelling,1
32,Glassdoor,"Great company to work, tax free, lots of travel and I would highly recommend!",1
32,Glassdoor,#NAME?,1
32,Glassdoor,"Destinations, bonus, great organization in all aspects",1
33,Glassdoor,"Great work, life balance. the management if very open and helpful. the work culture established is very positive. there is job security as well, the business is very stable. lastly a very competitive salary and profit sharing.",1
33,Glassdoor,"It is nice for young people who never traveled, or it is nice for those who love Dubai bling bling life. As someone from Europe and traveling experience, it was not for me... Too much pressure and at some point it felt like living in a baloon. But, I really recommend it to young people who live in 3rd world countries who want to get international experience and earn good amount meanwhile.",1
33,Glassdoor,"discount on flight tickets, membership card which provides discounts on different places. salary is on time.",1
33,Glassdoor,"Perks, travel, work culture, training",1
33,Glassdoor,Great salary and benefits. Lot to learn because diverse portfolio,1
34,Glassdoor,none none none none none,1
34,Glassdoor,"Attractive salary plus free shared accommodation, and transport, a lot of travel, and benefits.",1
34,Glassdoor,#NAME?,1
34,Glassdoor,Toxic environment in the group,1
34,Glassdoor,"Prestigious company to work for, and great perks such as event hosting and other.",1
35,Glassdoor,stress-free environment. flight ticket benefits.,1
35,Glassdoor,able to travel all over the world.,1
35,Glassdoor,Wage is good for hours.,1
35,Glassdoor,Great team and travel opportunities.,1
35,Glassdoor,good perks the company provides to its employees,1
36,Glassdoor,Saw the world and was paid to do it,1
36,Glassdoor,Great discounts on different goods and services,1
36,Glassdoor,I have sales experience in Dubai marketing 5 years,1
36,Glassdoor,Best place to work . Nice environment,1
36,Glassdoor,Staff tickets and salary safety,1
37,Glassdoor,Good benefits and salary plus bonus,1
37,Glassdoor,"Money, travel the world, and if you get married or buy a property in Dubai - house allowance.",1
37,Glassdoor,Very good employer in the UAE,1
37,Glassdoor,Tax free salary Free accommodation Travel benefits multinational work environment,1
37,Glassdoor,"Five Star , staff benefit and work timing",1
38,Glassdoor,"Get to travel the world, really great colleagues, life in Dubai pretty amazing!",1
38,Glassdoor,good destination to travel to,1
38,Glassdoor,Everything is good in the company.,1
38,Glassdoor,"Work life balance, lots of option to upskill",1
38,Glassdoor,"Good benefits, travel Opportunities, decent salary",1
39,Glassdoor,Benefits Multinational co workers Leave Maternity leave Internal vacancy,1
39,Glassdoor,"travel, salary and lifestyle benefits",1
39,Glassdoor,"Great team spirit
Salary and benefits package",1
39,Glassdoor,Fly the world and build your leadership skills,1
39,Glassdoor,Work life balance is great. Career growth opportunities. I don't have to stay after my shift ends. Great flight discounts,1
40,Glassdoor,"People centric, organization takes care of employees",1
40,Glassdoor,"Travel all the time, free 5 star hotels",1
40,Glassdoor,#NAME?,1
40,Glassdoor,"Travel
Pay
Lifestyle
Friends
No other job like it",1
40,Glassdoor,"No work pressure
Fly in first class
Travel the world",1
41,Glassdoor,Basic Salary House Allowances Food allowances Transport allowances Eid Bonus Profit shares Yearly salary review,1
41,Glassdoor,"travel world, experience different cultures.",1
41,Glassdoor,"Large profitable company, great concentration of skills and experience to learn from, good benefits.",1
41,Glassdoor,good benefits time flies by,1
41,Glassdoor,Good benefits Good Opportunites to growth on a long term,1
42,Glassdoor,It is very fun and informative,1
42,Glassdoor,Great company Great pay Great job.,1
