id,source,comment,sentiment
1,YouTube,"⁠ I really appreciate your response. I have another question, if you don’t mind. This might sound a bit silly, but as a flight attendant, do we have any choice regarding the aircraft type we work on? I’m a bit uncomfortable with Boeing aircraft after watching a documentary about manufacturing issues and related accidents.",
2,YouTube,@WishCasting can i become a cabin crew at the age of 38?,
3,YouTube,"Is that stat true - that 90%,, of cabin crew, resign within 5 years of starting?",
4,YouTube,"as an ex F/A for two UK airlines its really important to tell potential F/As about the good and the bad. Too many 18 year olds look at the job and all they see is glamour.....And trust me , after a couple of years or so the glamour has totally worn off !......Of course there are good and bad to every job and this is no exception......but i would strongly reccomend that anyone going into it , with whatever airline does not stay too long......for a variety of reasons. Firstly you can 'miss the boat on other opportunities......before u know it you are 30 years old then 40 !......The health factors are tho by far the most important to point out. You are flying when you should be asleep.....the radiation levels are high , you are eating reheated food, toxic air syndrome is something that exists and is brushed un der the carpet by all the airlines......The job is not good for your health....I know this as i did it for a long time.....I have two youngish kids and although i would never styand in their way of doing anything., if they wanted to fly....I would definately suggest they put a time limit on this.....5 years max !!!",
5,YouTube,Cabin crew a wiater on the sky. There is limted opportunities for advancement. It may be a good job for some one from a third world country where there are few jobs available.,
6,YouTube,I love whatever he said but isnt that like every job? you go to a place and do the same stuff every day. Its like the same agony as every other one out there but the radiation part scares the shit out of me tbh,
7,YouTube,"He keeps mentioning the word ""career"" - honestly, is being a cabin crew really a career? Come on, let's be realistic, It's a job really...",
8,YouTube,"Ex Emirates crew here, I’ve been very supportive of your videos and love how you are mashing up your experience and context. Keep up the good work and I’m sure you are inspiring many people out there! Don’t be out down by that community, there are those that all appreciate too.",
9,YouTube,"Not to mention, Dubai having slave labour camps for those trapped in there, I wouldn't think working for Dubai in general is very great idea. Not to mention 'glamorous' lifestyle there is just a front, once you peer behind the scenes you'll see gross issues in many factors. I don't understand why people are so naïve and don't make background check on who they're going to work for, isn't that the type of thing a jobseeker needs to do? If you apply blind, one might just end up somewhere, trapped in slave labour without noticing.",
10,YouTube,thankyou for your honest review . respect for replying all the comments . i do have a question won't you promoted may be as a trainner or may be senior cabin crew or head i dont know some other jobs in emrirates after you gain experience ? .,
11,YouTube,"As ex-cabin crew for BA I too thought after 34 years with them I had nothing to offer any future employer. But how wrong was I? I got snapped up by two hospitals as all our skills as crew are very tranferrable. I have never been happier, every weekend off and home in my own big comfy bed. No jet lag and loads more quality time with my husband and family. I loved working for BA but I now love the life I have now more.",
